scenario_name,policy_name,total_reward,total_throughput,avg_throughput_per_frame,packet_delivery_ratio,packet_drop_rate,avg_queue_length,energy_efficiency,jamming_failure_rate,collision_count,fairness_index
scenario_0_no_jammer,backscatter_only,-9944.850849999988,49.46666666666667,0.24733333333333332,0.00992781782033364,0.9800816059727377,9.919433333333327,19.90707278190972,0.0,0.0,0.1999999999999999
scenario_0_no_jammer,greedy_nearest,-9935.172316666656,54.56666666666667,0.27283333333333337,0.010945118491134798,0.9790695303549545,9.914433333333326,12.646778069098138,0.0,0.0,0.19999999999999993
scenario_0_no_jammer,greedy_sinr,-9876.813645084269,70.76666666666667,0.35383333333333333,0.014193857720677213,0.9758635443595222,9.898199999999994,4.913738006194632,0.0,0.0,0.43037442093681
scenario_0_no_jammer,htt_only,-9805.543862932673,89.73333333333333,0.4486666666666667,0.0180413932280651,0.9720010426637392,9.878799999999991,1.781617024964216,0.0,0.0,0.33102220942216715
scenario_0_no_jammer,random,-10065.89814235824,12.4,0.062000000000000006,0.0024853438904832597,0.9875165348083176,9.956266666666666,0.43856083361791837,0.0,0.0,0.4816629132563885
scenario_1_multi_uav,backscatter_only,-19705.020073014817,101.43333333333334,0.5071666666666667,0.010153750756831474,0.9799017892503308,9.920233333333325,19.943357013772,0.0,0.0,0.19999397993320908
scenario_1_multi_uav,greedy_nearest,-19685.134815704343,106.53333333333333,0.5326666666666667,0.010664276577442377,0.9793688885451353,9.917649999999991,12.69637079749826,0.0,0.0,0.1997083682890897
scenario_1_multi_uav,greedy_sinr,-19648.602393072004,138.76666666666668,0.6938333333333334,0.013899684929154226,0.9761241150353998,9.901416666666659,4.743180355803763,0.0,15.633333333333333,0.44652391375562145
scenario_1_multi_uav,htt_only,-19489.155037077107,183.6,0.9179999999999999,0.018372559089752556,0.9716732072027052,9.878449999999992,1.7821795427224933,0.0,5.666666666666667,0.31857961337762297
scenario_1_multi_uav,random,-19914.897221755527,28.7,0.1435,0.002872727306776973,0.9871273352174578,9.956449999999998,0.49602372493011215,0.0,0.7,0.554131113226287
scenario_2_static_jammer,backscatter_only,-20089.825533333358,0.8333333333333334,0.004166666666666667,8.32415971085252e-05,0.9899053584799312,9.970633333333334,0.16651504908923256,0.9916742475455383,0.0,0.5359999999999957
scenario_2_static_jammer,greedy_nearest,-20083.33848333335,0.8666666666666667,0.004333333333333333,8.678475260588335e-05,0.9898994642053565,9.970650000000001,0.10109255579025968,0.9924267305108,0.0,0.5319999999999958
scenario_2_static_jammer,greedy_sinr,-20172.86799088743,0.6666666666666666,0.0033333333333333335,6.681400717087188e-05,0.9899167838013768,9.970733333333333,0.021056967363003203,0.996481814776444,15.633333333333333,0.6759999999999978
scenario_2_static_jammer,htt_only,-20112.012101400647,4.733333333333333,0.023666666666666666,0.0004738818577166667,0.9895183815362819,9.968633333333333,0.04639210176929625,0.9739934815955108,5.666666666666667,0.14683291436232448
scenario_2_static_jammer,random,-19982.598290920476,8.7,0.0435,0.0008717874515879646,0.9891282750726468,9.96655,0.15438304967422165,0.6705628564127843,0.7,0.2910960140567844
scenario_3_mobile_jammer,backscatter_only,-19912.706594623753,52.03333333333333,0.26016666666666666,0.005209278856387519,0.9848207100042075,9.945116666666665,10.501250258600885,0.4742501287933119,0.0,0.1975684626181889
scenario_3_mobile_jammer,greedy_nearest,-19930.591712620775,53.43333333333333,0.26716666666666666,0.005342472259061163,0.9846936219910859,9.944383333333333,6.217545724736679,0.4951951558386693,0.0,0.16380122012950146
scenario_3_mobile_jammer,greedy_sinr,-20094.31559444774,29.866666666666667,0.14933333333333335,0.002985013807695913,0.9870173952362538,9.956100000000001,0.9996359101675015,0.782885818393662,15.766666666666667,0.3329887507870612
scenario_3_mobile_jammer,htt_only,-19922.989565310127,51.8,0.259,0.005188804971673357,0.9848282699146063,9.94498333333333,0.5155693718207822,0.7107725135209398,1.2,0.21866459826627874
scenario_3_mobile_jammer,random,-19976.45460961614,9.766666666666667,0.04883333333333333,0.00097764930278457,0.9890147296489181,9.966266666666666,0.174170299880185,0.6216255319643677,0.7,0.36568329427308
scenario_4_backscatter_types,backscatter_only,-30012.52942222225,0.36666666666666664,0.0018333333333333333,2.4437699476181905e-05,0.9899785872953119,9.970088888888888,0.0755499605971495,0.9962225019701426,0.0,0.6888888888888876
scenario_4_backscatter_types,greedy_nearest,-29977.09818888891,0.26666666666666666,0.0013333333333333333,1.7775931375763645e-05,0.9899739507760361,9.970122222222221,0.036404075851750005,0.9973267223371148,0.0,0.7822222222222214
scenario_4_backscatter_types,greedy_sinr,-30017.074574658294,3.6,0.018000000000000002,0.00023896297801843683,0.9897591154715558,9.969011111111111,0.10806179710639974,0.9774267647564719,0.9666666666666667,0.5896505791247777
scenario_4_backscatter_types,htt_only,-29959.827554941716,10.133333333333333,0.050666666666666665,0.00067345411796999,0.9893200901919494,9.966755555555554,0.08625965842463273,0.9428206813696562,2.6666666666666665,0.33289853952733506
scenario_4_backscatter_types,random,-29896.413341974545,6.833333333333333,0.034166666666666665,0.00045599482603688943,0.9895390495533232,9.96771111111111,0.12073819549909577,0.7176025923493954,0.7,0.24096304548886402
